date,home_team,away_team,home_goals,away_goals
2025-11-05T22:00:00Z,RB Bragantino,SC Corinthians Paulista,2,1
2025-11-05T22:00:00Z,EC Vitória,SC Internacional,1,0
2025-11-05T22:00:00Z,SC Recife,EC Juventude,0,2
2025-11-05T22:30:00Z,Botafogo FR,CR Vasco da Gama,3,0
2025-11-05T23:00:00Z,CA Mineiro,EC Bahia,3,0
2025-11-05T23:00:00Z,Grêmio FBPA,Cruzeiro EC,0,1
2025-11-06T00:30:00Z,São Paulo FC,CR Flamengo,2,2
2025-11-06T22:30:00Z,Fluminense FC,Mirassol FC,1,0
2025-11-06T23:00:00Z,Ceará SC,Fortaleza EC,1,1
2025-11-07T00:30:00Z,SE Palmeiras,Santos FC,2,0
2025-11-08T19:00:00Z,SC Recife,CA Mineiro,2,4
2025-11-08T21:00:00Z,CR Vasco da Gama,EC Juventude,1,3
2025-11-08T21:30:00Z,SC Internacional,EC Bahia,2,2
2025-11-09T00:00:00Z,São Paulo FC,RB Bragantino,0,1
2025-11-09T19:00:00Z,SC Corinthians Paulista,Ceará SC,0,1
2025-11-09T19:00:00Z,Cruzeiro EC,Fluminense FC,0,0
2025-11-09T19:00:00Z,EC Vitória,Botafogo FR,0,0
2025-11-09T21:30:00Z,CR Flamengo,Santos FC,3,2
2025-11-09T23:30:00Z,Mirassol FC,SE Palmeiras,2,1
2025-11-09T23:30:00Z,Fortaleza EC,Grêmio FBPA,2,2
2025-11-12T23:30:00Z,CA Mineiro,Fortaleza EC,3,3
2025-11-15T21:30:00Z,SC Recife,CR Flamengo,1,5
2025-11-16T00:00:00Z,Santos FC,SE Palmeiras,1,0
2025-11-16T22:00:00Z,RB Bragantino,CA Mineiro,2,0
2025-11-18T23:30:00Z,Botafogo FR,SC Recife,3,2
2025-11-19T22:30:00Z,SE Palmeiras,EC Vitória,0,0
2025-11-20T00:30:00Z,Fluminense FC,CR Flamengo,2,1
2025-11-20T00:30:00Z,Santos FC,Mirassol FC,1,1
2025-11-20T00:30:00Z,Grêmio FBPA,CR Vasco da Gama,2,0
2025-11-20T19:00:00Z,EC Juventude,Cruzeiro EC,3,3
2025-11-20T21:00:00Z,EC Bahia,Fortaleza EC,2,3
2025-11-20T22:30:00Z,SC Corinthians Paulista,São Paulo FC,3,1
2025-11-21T00:30:00Z,Ceará SC,SC Internacional,1,2
2025-11-22T22:30:00Z,Botafogo FR,Grêmio FBPA,3,2
2025-11-23T00:30:00Z,CR Flamengo,RB Bragantino,3,0
2025-11-23T00:30:00Z,SE Palmeiras,Fluminense FC,0,0
2025-11-23T19:00:00Z,São Paulo FC,EC Juventude,2,1
2025-11-23T19:00:00Z,EC Bahia,CR Vasco da Gama,1,0
2025-11-23T21:30:00Z,SC Recife,EC Vitória,1,3
2025-11-23T23:30:00Z,Cruzeiro EC,SC Corinthians Paulista,3,0
2025-11-24T22:00:00Z,Mirassol FC,Ceará SC,3,0
2025-11-25T00:00:00Z,SC Internacional,Santos FC,1,1
2025-11-26T00:30:00Z,CA Mineiro,CR Flamengo,1,1
2025-11-26T00:30:00Z,Grêmio FBPA,SE Palmeiras,3,2
2025-11-26T22:00:00Z,RB Bragantino,Fortaleza EC,0,1
2025-11-27T23:30:00Z,Fluminense FC,São Paulo FC,6,0
2025-11-28T22:00:00Z,EC Juventude,EC Bahia,1,1
2025-11-28T22:30:00Z,CR Vasco da Gama,SC Internacional,5,1
2025-11-29T00:30:00Z,Santos FC,SC Recife,3,0
2025-11-29T19:00:00Z,EC Vitória,Mirassol FC,2,0
2025-11-30T00:00:00Z,Ceará SC,Cruzeiro EC,1,1
2025-11-30T19:00:00Z,SC Corinthians Paulista,Botafogo FR,2,2
2025-11-30T21:30:00Z,Fortaleza EC,CA Mineiro,1,0
2025-12-02T22:00:00Z,CR Vasco da Gama,Mirassol FC,0,2
2025-12-03T00:30:00Z,Grêmio FBPA,Fluminense FC,1,2
2025-12-03T22:00:00Z,Fortaleza EC,SC Corinthians Paulista,2,1
2025-12-03T22:00:00Z,RB Bragantino,EC Vitória,4,0
2025-12-03T22:30:00Z,EC Juventude,Santos FC,0,3
2025-12-03T23:00:00Z,São Paulo FC,SC Internacional,3,0
2025-12-03T23:00:00Z,EC Bahia,SC Recife,2,0
2025-12-04T00:30:00Z,CA Mineiro,SE Palmeiras,0,3
2025-12-04T00:30:00Z,CR Flamengo,Ceará SC,1,0
2025-12-04T22:30:00Z,Cruzeiro EC,Botafogo FR,2,2
2025-12-06T21:30:00Z,Mirassol FC,CR Flamengo,3,3
2025-12-07T19:00:00Z,Fluminense FC,EC Bahia,2,0
2025-12-07T19:00:00Z,Botafogo FR,Fortaleza EC,4,2
2025-12-07T19:00:00Z,SC Corinthians Paulista,EC Juventude,1,1
2025-12-07T19:00:00Z,Santos FC,Cruzeiro EC,3,0
2025-12-07T19:00:00Z,CA Mineiro,CR Vasco da Gama,5,0
2025-12-07T19:00:00Z,SC Internacional,RB Bragantino,3,1
2025-12-07T19:00:00Z,EC Vitória,São Paulo FC,1,0
2025-12-07T19:00:00Z,Ceará SC,SE Palmeiras,1,3
2025-12-07T19:00:00Z,SC Recife,Grêmio FBPA,0,4
